;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;05.07.2018;05.07.2018;05.07.2018;05.07.2018;05.07.2018;18.04.2019;14.04.2020;30.04.2021;28.04.2022;21.04.2023;02.05.2024;20.05.2025;28.04.2026;02.05.2024
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Долг/EBITDA;;;;1.96;1.97;1.84;1.57;3.07;2.12;2.11;3.01;2.01;1.81;3.01
R&D/CAPEX, %;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
CAPEX/Выручка, %;0%;0%;0%;0%;9%;6%;14%;3%;6%;10%;11%;8%;3%;10%
Качество фин.отчетности;;;;;;;;;;;;3;3;
Презентации для инвесторов;;;;;;;;;;;;1;1;
Присутствие на смартлабе;;;;;;;;;;;;1;1;
Сайт для инвесторов;;;;;;;;;;;;2;2;
Календарь инвесторов;;;;;;;;;;;;1;1;
Обратная связь;;;;;;;;;;;;1;1;
Персонал , чел;;;;;;;;;;;;;2 262;
Произв.труда , млн руб/чел/год;;;;;;;;;;;;;9.38;
Расходы/чел/год , тыс.р;;;;;;;;;;;;;1 741;
