;2010;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;08.07.2018;08.07.2018;29.01.2020;24.04.2018;24.04.2018;29.04.2019;27.04.2020;23.03.2021;01.03.2022;03.03.2023;04.03.2024;06.03.2025;;20.08.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;;RUB
P/BV;;0.00;0.00;0.45;0.81;1.51;2.10;2.74;2.59;1.89;1.07;1.13;0.69;;0.64
EV/EBITDA;;-0.32;-0.05;2.17;3.62;7.15;6.86;6.94;8.70;7.33;4.95;6.21;4.42;;4.47
Долг/EBITDA;;-0.32;-0.05;-0.02;-0.02;-0.01;0.04;0.04;-0.11;-0.04;-0.05;-0.03;-0.02;;-0.03
R&D/CAPEX, %;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;0
CAPEX/Выручка, %;;0%;0%;21%;18%;16%;15%;20%;18%;12%;13%;22%;15%;;16%
Дата отчета, 01.03.2022;;;;;;;;;;;;;;06.03.2026;
Валюта отчета, RUB;;;;;;;;;;;;;;RUB;
Выручка , млрд руб, 41.1;;;;;;;;;;;;;;48.6;
Операционная прибыль , млрд руб, 15.6;;;;;;;;;;;;;;17.5;
EBITDA , млрд руб, 24.5;;;;;;;;;;;;;;25.7;
Чистая прибыль , млрд руб, 15.1;;;;;;;;;;;;;;28.7;
Опер.денежный поток , млрд руб, 12.2;;;;;;;;;;;;;;21.5;
CAPEX , млрд руб, 5.05;;;;;;;;;;;;;;6.36;
FCF , млрд руб, 9.63;;;;;;;;;;;;;;14.3;
Див доход, ао , %, 0.0%;;;;;;;;;;;;;;0;
Див доход, ап , %, 0.0%;;;;;;;;;;;;;;0;
Дивиденды/прибыль , %, 0%;;;;;;;;;;;;;;0;
Опер. расходы , млрд руб, 5.80;;;;;;;;;;;;;;6.21;
Себестоимость , млрд руб, 16.2;;;;;;;;;;;;;;18.9;
Амортизация , млрд руб, 9.0;;;;;;;;;;;;;;8.2;
Расх на персонал , млрд руб, 9.19;;;;;;;;;;;;;;9.08;
Процентные расходы , млрд руб, 1.15;;;;;;;;;;;;;;1.60;
Активы , млрд руб, 131.9;;;;;;;;;;;;;;227.5;
Чистые активы , млрд руб, 99.7;;;;;;;;;;;;;;192.1;
Долг , млрд руб, 1.42;;;;;;;;;;;;;;1.35;
Наличность , млрд руб, 2.42;;;;;;;;;;;;;;0.706;
Чистый долг , млрд руб, -1.00;;;;;;;;;;;;;;0.64;
Цена акции ао , руб, 2 035;;;;;;;;;;;;;;1 086;
Число акций ао , млн, 79.8;;;;;;;;;;;;;;79.7;
Цена акции ап , руб, 1 178;;;;;;;;;;;;;;744.0;
Число акций ап , млн, 15.5;;;;;;;;;;;;;;15.5;
Капитализация , млрд руб, 180.7;;;;;;;;;;;;;;98.1;
EV , млрд руб, 179.7;;;;;;;;;;;;;;98.8;
Баланс стоимость , млрд руб, 95.6;;;;;;;;;;;;;;188.1;
EPS , руб, 189.5;;;;;;;;;;;;;;360.6;
FCF/акцию , руб, 120.7;;;;;;;;;;;;;;179.9;
BV/акцию , руб, 1 198;;;;;;;;;;;;;;2 359;
Рентаб EBITDA , %, 59.6%;;;;;;;;;;;;;;52.9%;
Чистая рентаб , %, 36.8%;;;;;;;;;;;;;;59.2%;
Доходность FCF , %, 5.9%;;;;;;;;;;;;;;16.6%;
ROE , %, 15.2%;;;;;;;;;;;;;;15.0%;
ROA , %, 11.5%;;;;;;;;;;;;;;12.6%;
P/E, 11.9;;;;;;;;;;;;;;3.41;
P/FCF, 18.8;;;;;;;;;;;;;;6.84;
P/S, 4.39;;;;;;;;;;;;;;2.02;
P/BV, 1.89;;;;;;;;;;;;;;0.52;
EV/EBITDA, 7.33;;;;;;;;;;;;;;3.85;
Долг/EBITDA, -0.04;;;;;;;;;;;;;;0.03;
R&D/CAPEX , %, 0.00%;;;;;;;;;;;;;;0;
CAPEX/Выручка , %, 12%;;;;;;;;;;;;;;13%;
