;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
Дата отчета;;22.11.2021;22.11.2021;22.11.2021;22.11.2021;05.04.2022;06.04.2023;09.04.2024;07.04.2025;10.11.2025;10.11.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
R&D/CAPEX, %;;76.25%;49.56%;77.78%;94.59%;70.63%;70.59%;64.89%;57.31%;57.47%;57.47%
CAPEX/Выручка, %;;28%;35%;26%;19%;18%;14%;16%;27%;29%;29%
IR рейтинг;;;;;;;;;;4.9;4.9
Качество фин.отчетности;;;;;;;;;;5;5
Презентации для инвесторов;;;;;;;;;;5;5
Присутствие на смартлабе;;;;;;;;;;5;5
Годовой отчет;;;;;;;;;;;5
Сайт для инвесторов;;;;;;;;;;4;4
Календарь инвесторов;;;;;;;;;;5;5
Обратная связь;;;;;;;;;;5;5
